ownerName,name,_id,Address,city,state,capacity,Registration Date,Registration Valid Upto,phoneNo,Status,
A.P.M.C.MALKAPUR,APMC MALKAPUR,6751143,"BELAD YARD ,MALKAPUR,",Buldana,MAHARASHTRA,1147,04-Jul-23,03-Jul-28,9960783901,Active,
AAI SHARDA LOGISTICS PRIVATE LIMITED,AAI SHARDA LOGISTICS PRIVATE LIMITED,6744759,"At Gut No. 68/2/B, 68/3/A, 67/1/B1, Village - Hol T Haveli,",Nandurbar,MAHARASHTRA,20000,24-Jun-23,23-Dec-27,9850070254,Active,
Abhimanyu Gujar,GANRAJ KRUPA WARE HOUSING COMPANY,6608319,"Opp,Karad Railway Good Shed, Karad Railway station, Oglewadi, Tal:- Karad Dist:- Satara",Satara,MAHARASHTRA,4000,29-Jul-22,28-Jul-27,9822245555,Active,
AGRICULTURAL PRODUCE MARKET COMMITTEE,KRUSHI UTTPANA BAZAR SAMITI TULJAPUR,6763296,"Latur road Market yard,",Osmanabad,MAHARASHTRA,1000,27-Jul-23,26-Jul-28,9975720584,Active,
Agricultural Produce Market Committee Baramati,Agricultural Produce Market Committee Baramati,6839526,"Indapur Road, Market Yard",Pune,MAHARASHTRA,1147,18-Jan-24,17-Jan-29,9860305093,Active,
Agricultural Produce Market Committee Barshi,Agricultural Produce Committee Barshi,6749162,"Tuljapur Road, Market yard",Solapur,MAHARASHTRA,1147,30-Jun-23,29-Jun-28,8888526933,Active,
Agricultural Produce Market Committee Kurduvadi,Agricultural Produce Market Committee Kurduwadi,6840060,"APMC Kurduwadi Market yard, Tembhurni Road",Solapur,MAHARASHTRA,1147,18-Jan-24,17-Jan-29,9284915656,Active,
Agricultural Produce Market Committee Manchar,Agricultural Produce Market Committee Manchar,6865174,"Market yard Manchar,",Pune,MAHARASHTRA,1147,19-Feb-24,18-Feb-29,9922861133,Active,
Agricultural Produce Market Committee Nandura Tq Nandura Dist Budhana,Agricultural Produce Market Committee Nandura,6748172,"TQ NANDURA, DIST BULDHANA",Buldana,MAHARASHTRA,1000,30-Jun-23,29-Jun-28,9022118473,Active,
"Agricultural Produce Market Committee, Balapur",APMC Balapur,6739981,"Sub Yard Wadegaon, Balapur Patur Road",Akola,MAHARASHTRA,1147,19-Jun-23,18-Jun-28,9370543764,Active,
Agriculture Produce Market Comm.,A.P.M.C. Digras Warehouse,6756092,"Digras APMC Market Yard, Shivaji Chowk",Yavatmal,MAHARASHTRA,1,14-Jul-23,13-Jul-28,9422167294,Active,
"agriculture produce market commitee,gondpimpri","APMC,gondpimpri",6717847,"apmc,gondpimpri,",Chandrapur,MAHARASHTRA,1147,19-May-23,18-May-28,8830079725,Active,
"agriculture produce market committee, bhrmpuri","APMC, bramhpuri",6706147,"APMC, bramhpuri,",Chandrapur,MAHARASHTRA,1147,31-Mar-23,30-Mar-28,8329884348,Active,
"agriculture produce market committee,amgaon","APMC ,Amgaon",6690127,"agriculture produce market committee,amgaon,",Gondiya,MAHARASHTRA,1147,28-Feb-23,27-Feb-28,9022500541,Active,
"agriculture produce market committee,goregaon","APMC,Goregaon",6687784,"agriculture produce market committee,goregaon,",Gondiya,MAHARASHTRA,1147,22-Feb-23,21-Feb-28,7507277558,Active,
"agriculture produce market committee,hinganghat.","Agriculture produce market committee, Hinganghat",6852305,"APMC, Hinganghat,",Wardha,MAHARASHTRA,1000,06-Feb-24,05-Feb-29,9860864627,Active,
"Agriculture produce market committee,parshiwani.",APMC Parshiwani,6825848,"agriculture market committee, parshiwani,",Nagpur,MAHARASHTRA,1147,26-Dec-23,25-Dec-28,8770467546,Active,
"agriculture produce market committee,sindewahi","agriculture produce market committee,sindewahi",6699482,"apmc,sub market yard ,navargaon,",Chandrapur,MAHARASHTRA,1147,27-Mar-23,26-Mar-28,9284858140,Active,
"agriculture,produce market commitee,chimur","APMC ,CHIMUR",6691745,"APMC ,CHIMUR,",Chandrapur,MAHARASHTRA,1147,03-Mar-23,02-Mar-28,9545310259,Active,
amogh agrotech,AMOGH AGROTECH,8651642,"1670 TASGAON MANERAJURI ROAD,",Sangli,MAHARASHTRA,1707,14-Aug-20,13-Aug-25,9923302846,Active,
ANDURA AGRO PRODUCER COMPANY LIMITED,ANDURA AGRO PRODUCER COMPANY LIMITED,6795157,"C-21,RUGVED,SUDHIR COLONY, NEAR HANUMAN MANDIR",Akola,MAHARASHTRA,750,27-Oct-23,26-Apr-25,9689350197,Active,
